Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food
,129.2,2 Electrolyte Drink,60 Bicep Curls,10:00:00,,
,,2 Black Coffee,60 Shoulder Press,,,
,,Chicken Wings Gravy,60 Kettle Swings,,,
,,Yogurt,11200 steps,,,
,128.6,Electrolyte Drink,120 Bicep Curls,,,
,,Black Coffee,120 Shoulder Press,,,
,130.6,Electrolyte Drink,,11:30:00,,
,,Cod Liver Oil,,,,
,,105 Almonds,,,,
,,Chicken Wings Fry,,,,
,,Spinach,,,,
,,,,,,
,,Electrolyte Drink,,,,
,,60 Almonds,,,,
,126.4,2 Electrolyte Drink,60 Bicep Curls,07:00:00,Brush,
,,Cod Liver Oil,60 Shoulder Press,,Bath,
,,2 Black Coffee,60 Lateral Raises,,,
,,70 Pumpkin Seeds,60 Single Arm Row,,,
,,Skyr,60 Kettle Swings,,,
,,Chicken Biryani,8000 steps,,,
,127.2,2 Electrolyte Drink,60 Bicep Curls,,,
,,34 Almonds,60 Kettle Twists,,,
,,Club Tropical Soda,10000 steps,,,
,,,60 Bicep Curls,,,
,,,60 Shoulder Press,,,
,,Electrolyte Drink,100 Bicep Curls,,,
,130.6,2 Black Coffee,60 Bicep Curls,,,
,,Fanta Zero,9000 steps,,,
,131.2,Electrolyte Drink,120 Bicep Curls,10:45:00,,
,129.6,2 Electrolyte Drink,60 Bicep Curls,08:00:00,Brush,
,,Cod Liver Oil,120 Shoulder Press,,Bath,
,,Chicken Biryani,60 Single Arm Row,,,
,,Camomile Drink,4223 steps,,,
,129.6,Electrolyte Drink,,,,
,,Black Coffee,,,,
,130.8,8L water,100 Bicep Curls,,,
,,2 Black Coffee,100 Shoulder Press,,,
,,2 Electrolyte Drink,60 Single Arm Row,,,
,,65 Almonds,100 Kettle Twists,,,
,,Vanilla Protein Drink,6500 steps,,,
,,Veggie Protein Snack,,,,
,,Chicken Roasted Bites,,,,
,130.4,3 Electrolyte Drink,120 Bicep Curls,10:00:00,,
,,70 Almonds,60 Lateral Raises,,,
,,Sprite Zero,10000 steps,,,
,128.8,Electrolyte Drink,120 Bicep Curls,,,
,130.0,3 Black Coffee,100 Bicep Curls,08:30:00,,
,,2 Electrolyte Drink,100 Shoulder Press,22:00:00,,
,,Cod Liver Oil,60 Lateral Raises,,,
,,73 Almonds,60 Single Arm Row,,,
,129.0,Black Coffee,100 Bicep Curls,08:00:00,,
,,Electrolyte Drink,100 Shoulder Press,,,
,,Bistro Salad,60 Lateral Raises,,,
,,Achar Gohst Chicken,60 Kettle Swings,,,
,,,7700 steps,,,
,133.2,2 Electrolyte Drink,60 Bicep Curls,09:00:00,,
,,70 Almonds,60 Shoulder Press,,,
,128.6,4L water,100 Bicep Curls,,,
,,Chicken Gravy,100 Kettle Twists,,,
,,,20 Bicep Curls,,,
,130.4,4L water,100 Bicep Curls,,,
,,Electrolyte Drink,100 Lateral Raises,,,
,,,100 Bicep Curls,,,
,,,20 Single Arm Row,,,
,129.8,2 Electrolyte Drink,100 Bicep Curls,08:45:00,,
,128.6,Electrolyte Drink,100 Bicep Curls,08:30:00,,
,,Cod Liver Oil,100 Shoulder Press,,,
,128.6,2 Electrolyte Drink,60 Bicep Curls,14:30:00,,
,,Black Coffee,60 Lateral Raises,,,
,,20 Almonds,60 Single Arm Row,,,
,,Rice,4100 steps,,,
,,Fanta Chucky,,,,
,130.8,2 Electrolyte Drink,60 Bicep Curls,12:30:00,,
,,60 Almonds,60 Lateral Raises,,,
,,Fanta Chucky,60 Kettle Swings,,,
,,,5000 steps,,,
,,,120 Bicep Curls,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
