Date,Weight,Nutrition,Exercise,source_file,source_sheet
2025-07-13,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Hobby\Hobby.xlsx,Comics
2025-07-13,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Hobby\Hobby.xlsx,Comics
2025-07-13,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Hobby\Hobby.xlsx,Comics
2025-07-13,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Hobby\Sex.xlsx,Sex
2025-07-20,132,8L water,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\20th june\Health\Health.xlsx,Health
2025-07-20,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\20th june\Hobby\Hobby.xlsx,Anime
2025-07-20,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\20th june\Wealth\Wealth.xlsx,Expenditure
2025-11-24,128.2,3 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\PROMISE\Health\Health.xlsx,Health
2025-11-24,,,,C:\Users\anbal\Downloads\PROMISE\Relationship\Relationship.xlsx,Relationship
2025-12-06,,,,C:\Users\anbal\Downloads\predictiveee\Dopamine\Dopamine.xlsx,Dopamine
2025-10-03,,,,C:\Users\anbal\Downloads\NEVER AGAIN\Career\Career.xlsx,Study
2025-10-03,129.6,3 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\NEVER AGAIN\Health\Health.xlsx,Health
2025-10-03,,,,C:\Users\anbal\Downloads\NEVER AGAIN\Relationship\Relationship.xlsx,Relationship
2025-10-03,,,,C:\Users\anbal\Downloads\NEVER AGAIN\Relationship\Relationship.xlsx,Relationship
2025-01-03,,,,C:\Users\anbal\Downloads\NEVER AGAIN\Wealth\Wealth.xlsx,Expenditure
2025-08-01,,,,C:\Users\anbal\Downloads\NAVY HERON\Hobby\Hobby.xlsx,Mobile Gaming
2025-07-14,,,,C:\Users\anbal\Downloads\munki\Hobby\Hobby.xlsx,Movie
2025-11-13,,Spinach,60 Bicep Curls,C:\Users\anbal\Downloads\movie launch\Health\Health.xlsx,Health
2025-11-13,,,,C:\Users\anbal\Downloads\movie launch\Health\Mental Health.xlsx,Addiction
2025-09-10,128.2,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\Momento Mori\Health\Health.xlsx,Health
2025-10-30,129.8,Electrolyte Drink,,C:\Users\anbal\Downloads\MASTERCALLS NI FAILURE\Health\Health.xlsx,Health
2025-11-19,,Electrolyte Drink,,C:\Users\anbal\Downloads\LAST FAILURE\Health\Health.xlsx,Health
2025-11-19,,,,C:\Users\anbal\Downloads\LAST FAILURE\Mental Health\Mental Health.xlsx,Sex
2025-07-14,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Hobby\Hobby.xlsx,Comic
2025-08-30,130.6,Electrolyte Drink,100 Bicep Curls,C:\Users\anbal\Downloads\finetune\Health\Health.xlsx,Health
2025-08-29,,,,C:\Users\anbal\Downloads\finetune\Hobby\Hobby.xlsx,PC Gaming
2025-08-30,,,,C:\Users\anbal\Downloads\finetune\Relationship\Relationship.xlsx,Relationship
2025-08-30,,,,C:\Users\anbal\Downloads\finetune\Relationship\Relationship.xlsx,Relationship
2025-08-30,,,,C:\Users\anbal\Downloads\finetune\Wealth\Wealth.xlsx,Expenditure
2025-08-02,,,,C:\Users\anbal\Downloads\FINAL DEFEAT\Hobby\Hobby.xlsx,PC Gaming
2025-11-07,,,,C:\Users\anbal\Downloads\fakeeeye\Career\Job Application.xlsx,Job Application
2025-11-07,,,,C:\Users\anbal\Downloads\fakeeeye\Career\Job Application.xlsx,Job Application
2025-11-07,,,,C:\Users\anbal\Downloads\fakeeeye\Career\Job Application.xlsx,Job Application
2025-11-07,,,,C:\Users\anbal\Downloads\fakeeeye\Career\Job Application.xlsx,Job Application
2025-11-07,,,,C:\Users\anbal\Downloads\fakeeeye\Career\Job Application.xlsx,Job Application
2025-11-07,,,,C:\Users\anbal\Downloads\fakeeeye\Career\Job Application.xlsx,Job Application
2025-11-07,,,,C:\Users\anbal\Downloads\fakeeeye\Career\Job Application.xlsx,Job Application
2025-11-05,,Electrolyte Drink,120 Bicep Curls,C:\Users\anbal\Downloads\fakeeeye\Health\Health.xlsx,Health
2025-11-14,,,,C:\Users\anbal\Downloads\FAILURE\Career\Career.xlsx,Job Application
2025-11-14,133.2,2 Electrolyte Drink,120 Bicep Curls,C:\Users\anbal\Downloads\FAILURE\Health\Health.xlsx,Health
2025-11-14,,,,C:\Users\anbal\Downloads\FAILURE\Relationship\Relationship.xlsx,Relationship
2025-11-14,,,,C:\Users\anbal\Downloads\FAILURE\Health\Mental Health\Mental Health.xlsx,Sex
2025-11-01,130,,120 Bicep Curls,C:\Users\anbal\Downloads\FAILED\Health\Health.xlsx,Health
2025-11-01,,,,C:\Users\anbal\Downloads\FAILED\Health\Mental Health.xlsx,Dopamine
2025-11-25,,,60 Kettle Twists,C:\Users\anbal\Downloads\end of ERA\Health\Health.xlsx,Health
2025-11-25,,,,C:\Users\anbal\Downloads\end of ERA\Wealth\Wealth.xlsx,Expenditure
2025-10-28,,,,C:\Users\anbal\Downloads\destiny\Career\Career.xlsx,Career
2025-10-28,,Electrolyte Drink,,C:\Users\anbal\Downloads\destiny\Health\Health.xlsx,Health
2025-10-28,,,,C:\Users\anbal\Downloads\destiny\Mental Health\Mental Health.xlsx,Dopamine
2025-11-25,,Electrolyte Drink,20 Lateral Raises,C:\Users\anbal\Downloads\death of self\Health\Health.xlsx,Health
2025-09-01,,,,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Career\Career.xlsx,Career
2025-09-01,,,,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Career\Career.xlsx,Career
2025-09-01,132,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Health\Health.xlsx,Health
2025-09-02,131.2,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Health\Health.xlsx,Health
2025-09-03,130,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Health\Health.xlsx,Health
2025-09-04,128.6,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Health\Health.xlsx,Health
2025-09-05,131.6,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Health\Health.xlsx,Health
2025-09-06,131,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Health\Health.xlsx,Health
2025-09-07,130,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Health\Health.xlsx,Health
2025-09-01,,,,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Relationship\Relationship.xlsx,Relationship
2025-09-02,,,,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Relationship\Relationship.xlsx,Relationship
2025-09-04,,,,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Relationship\Relationship.xlsx,Relationship
2025-09-01,,,,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Wealth\Wealth.xlsx,Expenditure
2025-09-03,,,,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Wealth\Wealth.xlsx,Expenditure
2025-09-04,,,,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Wealth\Wealth.xlsx,Expenditure
2025-09-05,,,,C:\Users\anbal\Downloads\DEATH BY DOPAMINE\Wealth\Wealth.xlsx,Expenditure
2025-09-21,,Electrolyte Drink,60,C:\Users\anbal\Downloads\DEAD\Health\Health.xlsx,Health
2025-08-21,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Hobby\Hobby.xlsx,PC Gaming
2025-11-28,,,,C:\Users\anbal\Downloads\close eyes\Health\Health.xlsx,Health
2025-08-31,131,Electrolyte Drink,100 Bicep Curls,C:\Users\anbal\Downloads\A   D HD\Health\Health.xlsx,Health
2025-06-04,,,,C:\Users\anbal\Downloads\1\all in 1\Social Media.xlsx,Youtube
2025-05-10,,,,C:\Users\anbal\Downloads\1\Hobby\Cartoon.xlsx,Sheet1
2025-05-11,,,,C:\Users\anbal\Downloads\1\Hobby\Cartoon.xlsx,Sheet1
2025-05-12,,,,C:\Users\anbal\Downloads\1\Hobby\Cartoon.xlsx,Sheet1
2025-05-13,,,,C:\Users\anbal\Downloads\1\Hobby\Cartoon.xlsx,Sheet1
2025-05-14,,,,C:\Users\anbal\Downloads\1\Hobby\Cartoon.xlsx,Sheet1
2025-05-16,,,,C:\Users\anbal\Downloads\1\Hobby\Cartoon.xlsx,Sheet1
2025-05-19,,,,C:\Users\anbal\Downloads\1\Hobby\Spotify.xlsx,Spotify
2025-05-15,,,,C:\Users\anbal\Downloads\1\Hobby\Stimulation.xlsx,Spotify
2025-05-16,,,,C:\Users\anbal\Downloads\1\Hobby\Stimulation.xlsx,Spotify
2025-05-16,,,,C:\Users\anbal\Downloads\1\Hobby\Video Gaming.xlsx,Video Gaming
