Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_raw
,,2 Veggie Protein Crunch,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,
,,Kulfi,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,
2025-10-12,128.8,Electrolyte Drink,60 Bicep Curls,09:00:00,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health,45942
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health,
,,Cod Liver Oil,20 Lateral Raises,,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health,
,,2 Actimel,,,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health,
2025-09-25,128.6,2 Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,45925
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,
,,Sindhi Chicken Biryani,60 Kettle Twists,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,
,,Vitamin Water Drink,60 Kettle Swings,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,
,,Protein Veggie Crunch,,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,
,,Club Tropical,,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,
,,Protein Bar,,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,
2025-08-25,,,,,,,C:\Users\anbal\Downloads\desire\Relationship.xlsx,Relationship,45894
2025-08-25,,,,,,,C:\Users\anbal\Downloads\desire\Relationship.xlsx,Relationship,45894
,,,,,,,C:\Users\anbal\Downloads\desire\Relationship.xlsx,Relationship,
2025-09-27,129.2,Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health,45927
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health,
,,Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health,
