Date,Date_raw,Weight,Nutrition,Exercise,Sleep,Hygiene,Food
,nan,,,,,,
,nan,,,,,,
,45857.0,131.0,6L water,100 Bicep Curls,,,
,nan,,3 Electrolyte Drink,100 Shoulder Press,,,
,nan,,2 Black Coffee,60 Single Arm Row,,,
,nan,,20 Almonds,60 Kettle Swings,,,
,nan,,40 Cashews,8700 steps,,,
,nan,,160 Pumpkin seeds,,,,
,nan,,Radish Paratha,,,,
,45846.0,133.4,Cod Liver Oil,60 Bicep Curls,06:00:00,,
,nan,,Electrolyte Drink,60 Shoulder Press,22:00:00,,
,nan,,Rice and Chicken Gravy,60 Kettle Twists,,,
,45854.0,131.6,8L water,100 Bicep Curls,,,
,nan,,2 Black Coffee,100 Shoulder Press,,,
,nan,,2 Electrolyte Drink,100 Lateral Raises,,,
,nan,,Cod Liver Oil,20 Single Arm Row,,,
,nan,,400 Pumpkin seeds,,,,
,nan,,Chicken Wings,,,,
,45841.0,134.2,Black Coffee,,,,
,nan,,Electrolyte Drink,,,,
,nan,,Cod Liver Oil,,,,
,nan,,40 Almonds,,,,
,nan,,4L water,,,,
,45849.0,133.2,8L water,80 Bicep Curls,08:30:00,,
,nan,,2 Black Coffee,60 Shoulder Press,22:00:00,,
,nan,,2 Electrolyte Drink,60 Lateral Raises,,,
,nan,,330 Pumpkin seeds,60 Kettle Twists,,,
,nan,,Spinach,10000 steps,,,
,nan,,Protein Shake,,,,
,nan,,7 up Zero,,,,
,nan,,Roasted Nuts,,,,
,45842.0,136.2,,60 Bicep Curls,,,
,nan,,,60 Shoulder Press,,,
,nan,,,20 Lateral Raises,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,45847.0,134.0,8L water,100 Bicep Curls,06:00:00,,
,nan,,2 Black Coffee,120 Shoulder Press,22:00:00,,
,nan,,Cod Liver Oil,60 Shoulder Raises,,,
,nan,,Chicken Gravy,11300 steps,,,
,45848.0,133.8,8L water,120 Bicep Curls,,,
,nan,,2 Black Coffee,120 Shoulder Press,,,
,nan,,Electrolyte Drink,120 Lateral Raises,,,
,nan,,50 Pumpkin seeds,60 Kettle Twists,,,
,nan,,20 Almonds,30 Kettle Swings,,,
,45840.0,134.2,4L water,60 Bicep Curls,08:30:00,,
,nan,,Electrolyte Drink,60 Shoulder Press,,,
,nan,,Black Coffee,60 Kettle Twists,,,
,nan,,150 Pumpkin Seeds,60 Kettle Swings,,,
,nan,,Baby Leaves,14700 steps,,,
,nan,,5 Chicken Drumsticks,,,,
,45853.0,133.0,2 Black Coffee,60 Bicep Curls,,,
,nan,,20 Pumpkin seeds,60 Kettle Twists,,,
,45838.0,135.6,Black Coffee,80 Bicep Curls,06:00:00,Brush,
,nan,,Electrolyte Drink,60 Shoulder Press,22:00:00,Bath,
,nan,,50 Pumpkin Seeds,60 Kettle Twists,,,
,nan,,Baby Leaves,10900 steps,,,
,45863.0,131.0,12L water,100 Bicep Curls,,,
,nan,,2 Electrolyte Drink,100 Shoulder Press,,,
,nan,,85 Almonds,60 Kettle Twists,,,
,45864.0,129.6,4L water,100 Bicep Curls,,,
,nan,,Electrolyte Drink,100 Shoulder Press,,,
,nan,,Bulletproof Coffee,60 Shoulder Press,,,
,nan,,90 Almonds,40 Kettle Swings,,,
2025-07-05,45843,,,,,,
2025-07-06,45844,,,,,,
,45843.0,135.0,2 Black Coffee,60 Bicep Curls,06:00:00,,
,nan,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,
,nan,,7 up zero,100 Lateral Raises,,,
,nan,,Vitamin Water,60 Single Arm Row,,,
,nan,,10L water,60 Kettle Twists,,,
,nan,,50 Pumpkin seeds,12300 steps,,,
,nan,,Rice with pepper chicken,,,,
,45844.0,135.0,Black Coffee,60 Bicep Curls,06:00:00,,
,nan,,Electrolyte Drink,60 Shoulder Press,22:00:00,,
,nan,,8L water,60 Single Arm Row,,,
,45845.0,132.6,Black Coffee,100 Bicep Curls,,,
,nan,,50 Pumpkin seeds,20 Single Arm Row,,,
,nan,,20 Almonds,80 Kettle Twists,,,
,nan,,Chicken Gravy,12600 steps,,,
,45839.0,135.2,8L water,100 Bicep Curls,,,
,nan,,Baby leaves,14400 steps,,,
,45956.0,129.2,2 Electrolyte Drink,60 Bicep Curls,10:00:00,,
,nan,,2 Black Coffee,60 Shoulder Press,,,
,nan,,Chicken Wings Gravy,60 Kettle Swings,,,
,nan,,Yogurt,11200 steps,,,
,45957.0,128.6,Electrolyte Drink,120 Bicep Curls,,,
,nan,,Black Coffee,120 Shoulder Press,,,
,45963.0,130.6,Electrolyte Drink,,11:30:00,,
,nan,,Cod Liver Oil,,,,
,nan,,105 Almonds,,,,
,nan,,Chicken Wings Fry,,,,
,nan,,Spinach,,,,
,nan,,,,,,
,45964.0,,Electrolyte Drink,,,,
,nan,,60 Almonds,,,,
,45983.0,126.4,2 Electrolyte Drink,60 Bicep Curls,07:00:00,Brush,
,nan,,Cod Liver Oil,60 Shoulder Press,,Bath,
,nan,,2 Black Coffee,60 Lateral Raises,,,
,nan,,70 Pumpkin Seeds,60 Single Arm Row,,,
,nan,,Skyr,60 Kettle Swings,,,
,nan,,Chicken Biryani,8000 steps,,,
,45944.0,127.2,2 Electrolyte Drink,60 Bicep Curls,,,
,nan,,34 Almonds,60 Kettle Twists,,,
,nan,,Club Tropical Soda,10000 steps,,,
,nan,,,60 Bicep Curls,,,
,nan,,,60 Shoulder Press,,,
,45898.0,,Electrolyte Drink,100 Bicep Curls,,,
,45917.0,130.6,2 Black Coffee,60 Bicep Curls,,,
,nan,,Fanta Zero,9000 steps,,,
,45966.0,131.2,Electrolyte Drink,120 Bicep Curls,10:45:00,,
,45987.0,129.6,2 Electrolyte Drink,60 Bicep Curls,08:00:00,Brush,
,nan,,Cod Liver Oil,120 Shoulder Press,,Bath,
,nan,,Chicken Biryani,60 Single Arm Row,,,
,nan,,Camomile Drink,4223 steps,,,
,45988.0,129.6,Electrolyte Drink,,,,
,nan,,Black Coffee,,,,
,45865.0,130.8,8L water,100 Bicep Curls,,,
,nan,,2 Black Coffee,100 Shoulder Press,,,
,nan,,2 Electrolyte Drink,60 Single Arm Row,,,
,nan,,65 Almonds,100 Kettle Twists,,,
,nan,,Vanilla Protein Drink,6500 steps,,,
,nan,,Veggie Protein Snack,,,,
,nan,,Chicken Roasted Bites,,,,
,45953.0,130.4,3 Electrolyte Drink,120 Bicep Curls,10:00:00,,
,nan,,70 Almonds,60 Lateral Raises,,,
,nan,,Sprite Zero,10000 steps,,,
,45954.0,128.8,Electrolyte Drink,120 Bicep Curls,,,
,45895.0,130.0,3 Black Coffee,100 Bicep Curls,08:30:00,,
,nan,,2 Electrolyte Drink,100 Shoulder Press,22:00:00,,
,nan,,Cod Liver Oil,60 Lateral Raises,,,
,nan,,73 Almonds,60 Single Arm Row,,,
,45896.0,129.0,Black Coffee,100 Bicep Curls,08:00:00,,
,nan,,Electrolyte Drink,100 Shoulder Press,,,
,nan,,Bistro Salad,60 Lateral Raises,,,
,nan,,Achar Gohst Chicken,60 Kettle Swings,,,
,nan,,,7700 steps,,,
,45938.0,133.2,2 Electrolyte Drink,60 Bicep Curls,09:00:00,,
,nan,,70 Almonds,60 Shoulder Press,,,
,45874.0,128.6,4L water,100 Bicep Curls,,,
,nan,,Chicken Gravy,100 Kettle Twists,,,
,nan,,,20 Bicep Curls,,,
,45867.0,130.4,4L water,100 Bicep Curls,,,
,nan,,Electrolyte Drink,100 Lateral Raises,,,
,45868.0,,,100 Bicep Curls,,,
,nan,,,20 Single Arm Row,,,
,45888.0,129.8,2 Electrolyte Drink,100 Bicep Curls,08:45:00,,
,45897.0,128.6,Electrolyte Drink,100 Bicep Curls,08:30:00,,
,nan,,Cod Liver Oil,100 Shoulder Press,,,
,45969.0,128.6,2 Electrolyte Drink,60 Bicep Curls,14:30:00,,
,nan,,Black Coffee,60 Lateral Raises,,,
,nan,,20 Almonds,60 Single Arm Row,,,
,nan,,Rice,4100 steps,,,
,nan,,Fanta Chucky,,,,
,45970.0,130.8,2 Electrolyte Drink,60 Bicep Curls,12:30:00,,
,nan,,60 Almonds,60 Lateral Raises,,,
,nan,,Fanta Chucky,60 Kettle Swings,,,
,nan,,,5000 steps,,,
,nan,,,120 Bicep Curls,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,SP,,,,,,
,Isk,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,45853.0,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
