Date,Weight,Nutrition,Exercise
18-07-2025,,,
18-07-2025,131.4,10L water,100 Bicep Curls
17-07-2025,,,
17-07-2025,132.2,8L water,60 Bicep Curls
16-07-2025,131.6,8L water,100 Bicep Curls
16-07-2025,,,
15-07-2025,,,
15-07-2025,133,2 Black Coffee,60 Bicep Curls
14-07-2025,132.8,4L water,100 Bicep Curls
14-07-2025,,,
14-07-2025,,,
13-07-2025,134.4,2 Black Coffee,60 Bicep Curls
13-07-2025,,,
13-07-2025,,,
13-07-2025,,,
13-07-2025,,,
13-07-2025,,,
12-07-2025,,,
11-07-2025,,,
11-07-2025,,,
11-07-2025,,,
11-07-2025,133.2,8L water,80 Bicep Curls
11-07-2025,,,
10-07-2025,,,
10-07-2025,133.8,8L water,120 Bicep Curls
10-07-2025,,,
09-07-2025,,,
09-07-2025,134,8L water,100 Bicep Curls
09-07-2025,,,
08-07-2025,133.4,Cod Liver Oil,60 Bicep Curls
08-07-2025,,,
07-07-2025,132.6,Black Coffee,100 Bicep Curls
06-07-2025,135,Black Coffee,60 Bicep Curls
06-07-2025,,,
05-07-2025,135,2 Black Coffee,60 Bicep Curls
05-07-2025,,,
05-07-2025,,,
04-07-2025,136.2,,60 Bicep Curls
03-07-2025,134.2,Black Coffee,
02-07-2025,,,
02-07-2025,134.2,4L water,60 Bicep Curls
01-07-2025,135.2,8L water,100 Bicep Curls
30-06-2025,135.6,Black Coffee,80 Bicep Curls
29-06-2025,135,4L water,60 Bicep Curls
28-06-2025,137,,60 Bicep Curls
27-06-2025,137,,60 Bicep Curls
26-06-2025,136.4,,60 Bicep Curls
25-06-2025,136.6,,60 Bicep Curls
24-06-2025,139.2,,60 Bicep Curls
23-06-2025,137.4,,60 Bicep Curls
22-06-2025,138.6,,60 Bicep Curls
21-06-2025,140.6,2 Black Coffee,60 Bicep Curls
20-06-2025,138.6,Black Coffee,60 Bicep Curls
19-06-2025,140,2 Black Coffee,60 Bicep Curls
18-06-2025,139.6,Black Coffee,60 Bicep Curls
17-06-2025,139.8,2 Black Coffee,60 Bicep Curls
16-06-2025,140,Black Coffee,100 Bicep Curls
15-06-2025,140.6,2 Black Coffee,60 Bicep Curls
14-06-2025,140.2,2 Black Coffee,100 Bicep Curls
13-06-2025,141.8,Black Coffee,60 Bicep Curls
12-06-2025,142,2 Black Coffee,60 Bicep Curls
11-06-2025,142.8,2 Black Coffee,80 Bicep Curls
10-06-2025,143.4,Black Coffee,60 Bicep Curls
09-06-2025,143.6,Black Coffee,100 Bicep Curls
08-06-2025,142.8,2 Black Coffee,60 Bicep Curls
07-06-2025,144,Black Coffee,100 Bicep Curls
07-06-2025,,,
07-06-2025,,,
06-06-2025,143.4,Black Coffee,60 Bicep Curls
05-06-2025,142.2,2 Black Coffee,60 Bicep Curls
04-06-2025,,,
04-06-2025,,,
04-06-2025,144.2,Black Coffee,100 Bicep Curls
03-06-2025,,,
03-06-2025,143.6,2 Black Coffee,60 Bicep Curls
02-06-2025,,,
02-06-2025,145,2 Black Coffee,100 Bicep Curls
02-06-2025,,,
02-06-2025,,,
01-06-2025,,,
01-06-2025,,,
