Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,Date_raw,Date_parsed
,,,,,,,nan,
,,,,,,,nan,
,,fanta zero,8400 Ssteps,,,,nan,
,,vitamin drink,,,,,nan,
,,protein crunch,,,,,nan,
,129.2,Electrolyte Drink,100 Bicep Curls,,,,45879.0,
,,Black Coffee,100 Kettle Swings,,,,nan,
,,15 Almonds,,,,,nan,
,131.0,Black Coffee,100 Bicep Curls,08:30:00,Brush,,45894.0,
,,Bistro Salad,100 Kettle Twists,,,,nan,
,,Chicken Legs,20 Kettle Swings,,,,nan,
,,7 up zero,,,,,nan,
,128.6,3 Electrolyte Drink,60 Bicep Curls,,,,45939.0,
,,80 Almonds,60 Single Arm Row,,,,nan,
,,,10200 steps,,,,nan,
,127.4,Electrolyte Drink,60 Bicep Curls,,,,45940.0,
,,35 Almonds,40 Single Arm Row,,,,nan,
,,Spinach,,,,,nan,
,,Chicken Gravy,,,,,nan,
,129.8,Electrolyte Drink,,11:00:00,,,45960.0,
,,Black Coffee,,,,,nan,
,,Cod Liver Oil,,,,,nan,
,,,,,,,nan,
,,,,,,,nan,
,129.2,2 Black Coffee,100 Bicep Curls,,,,45891.0,
,,2 Electrolyte Drink,100 Shoulder Press,,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,Spinach,100 Kettle Twists,,,,nan,
,,,,,,,nan,
,,,,,,,nan,
,,,,,,,nan,
,128.2,2 Electrolyte Drink,60 Bicep Curls,,,,45910.0,
,,Cod Liver Oil,60 Shoulder Press,,,,nan,
,,Fanta Zero,60 Single Arm Row,,,,nan,
,,2 Chicken Wrap,60 Kettle Swings,,,,nan,
,,Protein Bar,60 Kettle Twists,,,,nan,
,,,12300 steps,,,,nan,
,131.0,Electrolyte Drink,100 Bicep Curls,07:00:00,,,45870.0,
,,Black Coffee,100 Single Arm Row,,,,nan,
,,Spinach,60 Single Arm Row,,,,nan,
,,20 Almonds,100 Kettle Twists,,,,nan,
,129.6,3 Electrolyte Drink,60 Bicep Curls,,,,45933.0,
,,2 Black Coffee,60 Shoulder Press,,,,nan,
,,Cod Liver Oil,60 Lateral Raises,,,,nan,
,,40 Almonds,60 Single Arm Row,,,,nan,
,,Spinach,60 Kettle Twists,,,,nan,
,,Chicken Wings,60 Kettle Swings,,,,nan,
,,,10600 steps,,,,nan,
,130.0,2 Black Coffee,100 Bicep Curls,,,,45860.0,
,,2 Electrolyte Drink,100 Shoulder Press,,,,nan,
,,380 Pumpkin seed,60 Kettle Twists,,,,nan,
,,Bistro Salad,60 Kettle Swings,,,,nan,
,,Chicken Gravy,10000 steps,,,,nan,
,,Vitamin Drink,,,,,nan,
,131.2,Black Coffeee,100 Bicep Curls,,,,45861.0,
,,2 Electrolyte Drink,100 Shoulder Press,,,,nan,
,,30 Almonds,60 Lateral Raises,,,,nan,
,,70 Pumpkin seeds,60 Kettle Twists,,,,nan,
,,,13100 steps,,,,nan,
,,,100 Bicep Curls,,,,nan,
,,,100 Shoulder Press,,,,nan,
,,Keto Crunch,100 Bicep Curls,,,,45876.0,
,,Keto Crunch,60 Shoulder Press,,,,nan,
,,Mas+ Drink,3530 steps,,,,nan,
,129.4,Black Coffee,60 Bicep Curls,09:00:00,,,45935.0,
,,Electrolyte Drink,60 Shoulder Press,,,,nan,
,,Sindhi Chicken Biryani,60 Kettle Swings,,,,nan,
,127.2,Electrolyte Drink,60 Bicep Curls,,,,45931.0,
,,Cod Liver Oil,60 Shoulder Press,,,,nan,
,128.2,3 Electrolyte Drink,60 Bicep Curls,10:00:00,,,45985.0,
,,Skyr,60 Single Arm Row,,,,nan,
,,Chicken Gravy,4468 steps,,,,nan,
,,40 Almonds,,,,,nan,
,,20 Pumpkin seeds,,,,,nan,
,137.0,,60 Bicep Curls,06:00:00,Arranged room,Black Coffee,45835.0,
,,,60 Shoulder Press,23:00:00,Brush,2 Electrolyte Drink,nan,
,,,60 Lateral Raises,,Bath,Cod Liver Oil,nan,
,,,60 Single Arm Row,,,8l water,nan,
,,,60 Kettle Twists,,,20 Almonds,nan,
,,,60 Kettle Swings,,,Spinach,nan,
,,,10000 steps,,,Club Tropical,nan,
,,,,,,Pollo Picado Pizza,nan,
,,,,,,Chocolate cake,nan,
