Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_parsed,Date_fixed
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,,
,,2 Electrolyte Drink,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,,
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,,
,,20 Pumpkin Seed,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,,
,,20 Almonds,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1,,
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,,
,,20 Almonds,60 Vertical Raises,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,,
,,Chicken Karahi gravy,60 Single Arm Row,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,,
,,Cod Liver Oil,60 Kettle Swings,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,,
,,fanta zero,8400 Ssteps,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,,
,,vitamin drink,,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,,
,,protein crunch,,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health,,
,,Cod Liver Oil,100 Shoulder Press,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health,,
,,Black Coffee,100 Kettle Swings,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health,,
,,15 Almonds,,,,,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health,,
,,2 Electrolyte Drink,100 Shoulder Press,,Bath,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,,
,,Bistro Salad,100 Kettle Twists,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,,
,,Chicken Legs,20 Kettle Swings,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,,
,,7 up zero,,,,,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\kalpass\Relationship.xlsx,Relationship,,
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,80 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,,10200 steps,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,35 Almonds,40 Single Arm Row,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
,,Spinach,,,,,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health,,
